id,serviceScore, shiftStartTime, shiftEndTime,shiftDuration,currentLat,currentLon,headingLat,headingLon,available,emptyCarMode,currentServePaxId,timeUntilAvailable,online, number of served pax,totIncome,avg income per pax
7112,114,2815,10596,7781,46,1433,-1,-1,true,2,-1,-100,true,0,0,NaN
2312,36,2455,11089,8634,1767,2389,-1,-1,true,2,-1,0,true,1,171,171.0
34,12,1532,8775,7243,1085,1575,-1,-1,true,2,-1,0,true,3,547,182.33333333333334
1532,126,2817,10314,7497,1878,485,-1,-1,true,2,-1,-100,true,0,0,NaN
6612,4,1753,10716,8963,240,2791,-1,-1,true,2,-1,0,true,2,485,242.5
5210,115,2819,11478,8659,1221,621,-1,-1,true,2,-1,-100,true,0,0,NaN
2802,32,2820,10317,7497,304,2293,-1,-1,true,2,-1,-100,true,0,0,NaN
4383,14,2363,10624,8261,1121,2969,-1,-1,true,2,-1,0,true,1,199,199.0
1260,46,2823,10490,7667,1764,715,-1,-1,true,2,-1,-100,true,0,0,NaN
8265,78,2824,10561,7737,393,832,-1,-1,true,2,-1,-100,true,0,0,NaN
8890,63,2825,10897,8072,1201,1804,-1,-1,true,2,-1,-100,true,0,0,NaN
5639,90,2825,10842,8017,354,1508,-1,-1,true,2,-1,-100,true,0,0,NaN
6760,5,2827,11356,8529,1960,778,-1,-1,true,2,-1,-100,true,0,0,NaN
3798,25,1963,9433,7470,395,1805,-1,-1,true,2,-1,0,true,2,355,177.5
6478,44,2175,10579,8404,93,2591,-1,-1,true,2,-1,0,true,1,171,171.0
1181,28,2346,10458,8112,505,789,-1,-1,true,2,-1,0,true,1,33,33.0
4232,86,2831,10875,8044,1744,960,-1,-1,true,2,-1,-100,true,0,0,NaN
10863,57,2836,11189,8353,1246,658,-1,-1,true,2,-1,-100,true,0,0,NaN
4353,27,2838,11550,8712,737,1246,-1,-1,true,2,-1,-100,true,0,0,NaN
2983,76,2323,10390,8067,709,2141,-1,-1,true,2,-1,0,true,1,175,175.0
4109,62,2840,10055,7215,2238,507,-1,-1,true,2,-1,-100,true,0,0,NaN
9628,90,2841,10932,8091,402,2176,-1,-1,true,2,-1,-100,true,0,0,NaN
593,34,2841,11155,8314,691,1901,-1,-1,true,2,-1,-100,true,0,0,NaN
3905,115,1874,9971,8097,1018,851,-1,-1,true,2,-1,0,true,2,268,134.0
8094,57,2842,11325,8483,755,660,-1,-1,true,2,-1,-100,true,0,0,NaN
10230,115,2843,11690,8847,333,1863,-1,-1,true,2,-1,-100,true,0,0,NaN
234,160,2843,11347,8504,913,991,-1,-1,true,2,-1,-100,true,0,0,NaN
3107,144,2844,11772,8928,1299,723,-1,-1,true,2,-1,-100,true,0,0,NaN
1467,20,2844,11610,8766,1440,1154,-1,-1,true,2,-1,-100,true,0,0,NaN
11590,37,2847,10337,7490,723,748,-1,-1,true,2,-1,-100,true,0,0,NaN
6414,90,2847,11757,8910,993,2086,-1,-1,true,2,-1,-100,true,0,0,NaN
2223,96,2116,10825,8709,2491,492,-1,-1,true,2,-1,0,true,2,231,115.5
4298,36,2850,11512,8662,240,2478,-1,-1,true,2,-1,-100,true,0,0,NaN
2401,88,2850,10258,7408,580,1829,-1,-1,true,2,-1,-100,true,0,0,NaN
4564,24,1498,9269,7771,975,2066,-1,-1,true,2,-1,0,true,2,384,192.0
8909,118,2856,11827,8971,1138,480,-1,-1,true,2,-1,-100,true,0,0,NaN
4387,177,2857,11246,8389,71,1161,-1,-1,true,2,-1,-100,true,0,0,NaN
4247,131,2857,10965,8108,1257,1277,-1,-1,true,2,-1,-100,true,0,0,NaN
10211,5,2858,10490,7632,533,1585,-1,-1,true,2,-1,-100,true,0,0,NaN
